color,c,m,y,k
Burnt-Umber,0.49,0.64,0.79,0.43
Yellow-Ochre,0.29,0.476666666667,1.0,0.0966666666667
Titanium-White,0.1025,0.0775,0.115,0.0
Flower-Pink,0.155,0.575,0.435,0.005
Midnight-Black,0.72,0.65,0.57,0.52
Phthalo-Green,0.84,0.38,1.0,0.35
Cadmium-Yellow-Light,0.18,0.215,0.775,0.02
Viridian-Green,0.91,0.58,0.555,0.445
Van-Dyke-Brown,0.57,0.69,0.77,0.77
Alizarin-Crimson,0.3,0.9,0.92,0.315
Cadmium-Yellow,0.05,0.01,0.78,0.0
Mountain-Mixture,0.75,0.68,0.67,0.9
Phthalo-Blue,0.88,0.63,0.02,0.0
Cadmium-Yellow-Hue,0.05,0.01,0.78,0.0
Cadmium-Red-Medium,0.225,0.92,0.945,0.145
Sap-Green,0.745,0.3875,0.9525,0.325
Dark-Sienna,0.41,0.74,0.97,0.53
Ultramarine-Blue,0.93,0.67,0.21,0.085
Prussian-Blue,0.88,0.67,0.06,0.01
Cadmium-Red-Light,0.105,0.845,0.87,0.03
Cadmium-Orange,0.145,0.745,1.0,0.035
Burnt-Sienna,0.43,0.76,0.73,0.5
Transparent-Black,0.685,0.6,0.57,0.53
Dusty-Rose,0.265,0.57,0.44,0.025
Bright-Red,0.175,0.855,0.905,0.06
Turquoise,0.48,0.22,0.03,0.0
Indian-Yellow,0.176666666667,0.486666666667,0.996666666667,0.06
Mauve,0.495,0.805,0.265,0.06
Ivory-Black,0.62,0.565,0.56,0.48
Raw-Umber,0.545,0.59,0.665,0.42
Magenta,0.205,0.855,0.605,0.065
Warm-White,0.223333333333,0.156666666667,0.26,0.00666666666667
